Id,Weekly_Sales
1_4_2013-06-07,38109.73202517858
1_4_2013-06-14,36656.01072261906
1_4_2013-06-21,35932.681761835316
1_4_2013-06-28,38017.049875138895
1_4_2013-07-05,41045.018645367076
1_4_2013-07-12,36485.00136590008
1_4_2013-07-19,36335.92200955357
1_4_2013-07-26,35791.4952857738
1_5_2012-11-02,27469.788982708335
1_5_2012-11-09,26875.428419583335
1_5_2012-11-16,25986.59829875003
1_5_2012-11-23,73956.1621826191
1_5_2012-11-30,50218.356217440436
1_5_2012-12-07,44335.45199499995
1_5_2012-12-14,51765.68290916672
1_5_2012-12-21,81259.6716329167
1_5_2012-12-28,35023.08844178569
1_5_2013-01-04,21955.841173819455
1_5_2013-01-11,19417.475490486133
1_5_2013-01-18,19077.465927271824
1_5_2013-01-25,21244.644495277767
1_5_2013-02-01,30505.556627976177
1_5_2013-02-08,34589.12330238095
1_5_2013-02-15,33484.817375972234
1_5_2013-02-22,28706.334767609136
1_5_2013-03-01,27316.681184742054
1_5_2013-03-08,24069.65812770833
1_5_2013-03-15,24230.308251071423
1_5_2013-03-22,27766.793407738096
1_5_2013-03-29,25093.017127559528
1_5_2013-04-05,23121.2276559127
1_5_2013-04-12,18550.026948551593
1_5_2013-04-19,20818.470716617063
1_5_2013-04-26,19162.236289315464
1_5_2013-05-03,18069.66902232142
1_5_2013-05-10,16909.82922684523
1_5_2013-05-17,16533.349334642848
1_5_2013-05-24,17032.023930535717
1_5_2013-05-31,17929.852038958332
1_5_2013-06-07,21662.543290684524
1_5_2013-06-14,20145.188631994035
1_5_2013-06-21,21481.062965446432
1_5_2013-06-28,20396.900318154745
1_5_2013-07-05,19266.242920119043
1_5_2013-07-12,18269.319961567468
1_5_2013-07-19,18097.08389347222
1_5_2013-07-26,16266.693220515866
1_6_2012-11-02,5384.970088690481
1_6_2012-11-09,4223.826451666668
1_6_2012-11-16,3400.0435116666686
1_6_2012-11-23,19460.165306011902
1_6_2012-11-30,12768.378494940467
1_6_2012-12-07,6804.742505059527
1_6_2012-12-14,11882.554330238101
1_6_2012-12-21,23333.531385059523
1_6_2012-12-28,6540.3492214880935
1_6_2013-01-04,2557.485630714285
1_6_2013-01-11,2466.469371547619
1_6_2013-01-18,2341.565481547618
1_6_2013-01-25,2514.739147916665
1_6_2013-02-01,4336.592349345243
1_6_2013-02-08,6711.431231458334
1_6_2013-02-15,4825.699692708334
1_6_2013-02-22,4457.6979915476195
1_6_2013-03-01,4755.950214880952
1_6_2013-03-08,4631.245594345235
1_6_2013-03-15,3995.8416454166627
1_6_2013-03-22,4772.567021279761
1_6_2013-03-29,4443.15824372024
1_6_2013-04-05,4090.802939811507
1_6_2013-04-12,4438.131621656748
1_6_2013-04-19,3485.5463456547654
1_6_2013-04-26,3998.1758510714317
1_6_2013-05-03,5785.710909821429
1_6_2013-05-10,5200.762113740077
1_6_2013-05-17,4771.257385029763
1_6_2013-05-24,5416.544260238095
1_6_2013-05-31,4977.14993404762
1_6_2013-06-07,4011.035884226191
1_6_2013-06-14,3744.146999573413
1_6_2013-06-21,4007.0778969841267
1_6_2013-06-28,4425.798189543651
1_6_2013-07-05,3856.472327916667
1_6_2013-07-12,3529.1892056547626
1_6_2013-07-19,4303.606714226189
1_6_2013-07-26,3233.9957161507937
1_7_2012-11-02,21577.16162571429
1_7_2012-11-09,23111.299311488096
1_7_2012-11-16,23187.064754583327
1_7_2012-11-23,67434.10179904758
1_7_2012-11-30,51656.9104222024
1_7_2012-12-07,54632.484116726206
1_7_2012-12-14,82995.75415892852
1_7_2012-12-21,147123.0615254764
1_7_2012-12-28,34477.37524279761
1_7_2013-01-04,14104.84470541667
1_7_2013-01-11,10759.287229583339
1_7_2013-01-18,11366.473440416667
1_7_2013-01-25,12427.153518214283
1_7_2013-02-01,17955.85238324405
1_7_2013-02-08,20105.735282103193
1_7_2013-02-15,20443.67045083333
1_7_2013-02-22,19104.392774523814
1_7_2013-03-01,18743.12938961309
1_7_2013-03-08,19684.565560952375
1_7_2013-03-15,21713.217906071444
1_7_2013-03-22,17903.012553988097
1_7_2013-03-29,19010.498985178572
1_7_2013-04-05,22776.06380765872
1_7_2013-04-12,20642.73451590279
1_7_2013-04-19,20638.065074255945
1_7_2013-04-26,21184.54145100198
1_7_2013-05-03,20913.355616485405
1_7_2013-05-10,20956.63667392857
1_7_2013-05-17,22097.84495982144
1_7_2013-05-24,30013.690862361113
1_7_2013-05-31,33246.823596646835
1_7_2013-06-07,31896.150108720245
1_7_2013-06-14,28343.080771994057
1_7_2013-06-21,25925.991688511902
1_7_2013-06-28,24598.698684999996
1_7_2013-07-05,23345.87635202381
1_7_2013-07-12,18967.779564107146
1_7_2013-07-19,17825.731826964293
1_7_2013-07-26,17001.61783458334
1_8_2012-11-02,36236.84102000001
1_8_2012-11-09,35043.980354166684
1_8_2012-11-16,34611.47913208329
1_8_2012-11-23,34027.64660458332
1_8_2012-11-30,36004.03628125001
1_8_2012-12-07,36612.344525059525
1_8_2012-12-14,37184.57655666664
1_8_2012-12-21,40094.67758083333
1_8_2012-12-28,33797.58669916665
1_8_2013-01-04,36111.28002291666
1_8_2013-01-11,34704.43754782739
1_8_2013-01-18,34763.14478089286
1_8_2013-01-25,35019.27219940476
1_8_2013-02-01,39540.904733690484
1_8_2013-02-08,37586.35199744589
1_8_2013-02-15,37059.42474846324
1_8_2013-02-22,35797.64442819448
1_8_2013-03-01,38076.073867083316
1_8_2013-03-08,35516.765959315475
1_8_2013-03-15,34590.86201934524
1_8_2013-03-22,33483.36165460318
1_8_2013-03-29,36221.50772817459
1_8_2013-04-05,37015.08133190476
1_8_2013-04-12,34566.73602211309
1_8_2013-04-19,34026.38381446427
1_8_2013-04-26,34854.374603988086
1_8_2013-05-03,37760.474673333294
1_8_2013-05-10,35698.64841956346
1_8_2013-05-17,35802.92485434523
1_8_2013-05-24,36604.255453102465
1_8_2013-05-31,37013.07707692463
1_8_2013-06-07,37008.357312232154
1_8_2013-06-14,35374.6510374107
1_8_2013-06-21,35209.90200071429
1_8_2013-06-28,36294.95492333331
1_8_2013-07-05,37022.63930920634
1_8_2013-07-12,34375.981114285736
1_8_2013-07-19,35093.911044761924
1_8_2013-07-26,34321.208439404756
1_9_2012-11-02,46148.56413315478
1_9_2012-11-09,39202.79499791668
1_9_2012-11-16,30627.613058571405
1_9_2012-11-23,40420.95427267856
1_9_2012-11-30,31332.119361607136
1_9_2012-12-07,27592.129084583332
1_9_2012-12-14,30328.821507083332
1_9_2012-12-21,42285.38056499999
1_9_2012-12-28,27740.597899999997
1_9_2013-01-04,17010.147410119032
1_9_2013-01-11,14991.753611011916
1_9_2013-01-18,12801.940990416675
1_9_2013-01-25,14018.519188869046
1_9_2013-02-01,18387.254160892866
1_9_2013-02-08,18347.171094285695
1_9_2013-02-15,20212.49201981151
1_9_2013-02-22,22142.621267708335
1_9_2013-03-01,27229.055642946434
1_9_2013-03-08,27379.65946916667
1_9_2013-03-15,34188.11697720237
1_9_2013-03-22,33266.69039333335
1_9_2013-03-29,39931.58123077384
1_9_2013-04-05,31111.097271279763
1_9_2013-04-12,30118.093036249986
1_9_2013-04-19,28063.32070586311
1_9_2013-04-26,26472.074837787684
1_9_2013-05-03,27318.876347440473
1_9_2013-05-10,25830.444094761908
1_9_2013-05-17,25993.422925833343
1_9_2013-05-24,28138.9988075
1_9_2013-05-31,30904.297722499992
1_9_2013-06-07,28942.40060202381
1_9_2013-06-14,26629.820558303578
1_9_2013-06-21,25715.21816464286
1_9_2013-06-28,24760.556238273806
1_9_2013-07-05,27631.952466547606
1_9_2013-07-12,21597.12956672619
1_9_2013-07-19,19593.69754843254
1_9_2013-07-26,19946.078238750008
1_10_2012-11-02,30814.349882678605
1_10_2012-11-09,29463.263914464304
1_10_2012-11-16,27483.74301541665
1_10_2012-11-23,31866.6851595833
1_10_2012-11-30,30449.63729041665
1_10_2012-12-07,29986.292519107148
1_10_2012-12-14,29817.767474464294
1_10_2012-12-21,32654.70154166664
1_10_2012-12-28,26518.353484583313
1_10_2013-01-04,25889.652400238105
1_10_2013-01-11,24201.19795773808
1_10_2013-01-18,24100.046083452373
1_10_2013-01-25,24926.18577928572
1_10_2013-02-01,31889.86927732142
1_10_2013-02-08,34641.31003690476
1_10_2013-02-15,34876.5123405754
1_10_2013-02-22,33025.54278270833
1_10_2013-03-01,35598.76282639882
1_10_2013-03-08,32394.269141081346
1_10_2013-03-15,33237.91464020834
1_10_2013-03-22,35352.451990396825
1_10_2013-03-29,39310.97529474203
1_10_2013-04-05,33580.10078645834
1_10_2013-04-12,31563.786188273807
1_10_2013-04-19,31397.114597857137
1_10_2013-04-26,29646.827767678566
1_10_2013-05-03,32265.884937103187
1_10_2013-05-10,29456.586816011888
1_10_2013-05-17,28447.67487285713
1_10_2013-05-24,31391.368182708356
1_10_2013-05-31,33390.925443035725
1_10_2013-06-07,32216.35923690477
1_10_2013-06-14,32151.83407261907
1_10_2013-06-21,31568.53740309525
1_10_2013-06-28,31939.581706488083
1_10_2013-07-05,33868.660743303575
1_10_2013-07-12,31090.319968482123
1_10_2013-07-19,29834.70601023809
1_10_2013-07-26,30195.474829791652
1_11_2012-11-02,25525.876463749995
1_11_2012-11-09,23043.441605535714
1_11_2012-11-16,22895.712234702387
1_11_2012-11-23,29710.50768250001
1_11_2012-11-30,30656.861364999993
1_11_2012-12-07,32830.53488095237
1_11_2012-12-14,29637.706765416675
1_11_2012-12-21,31812.918139999998
1_11_2012-12-28,23980.292636130966
1_11_2013-01-04,24757.714311845244
1_11_2013-01-11,27890.924465119035
1_11_2013-01-18,21599.821591607157
1_11_2013-01-25,19783.19875083334
1_11_2013-02-01,23467.640355178584
1_11_2013-02-08,21793.57438334326
1_11_2013-02-15,21162.101993432545
1_11_2013-02-22,19615.26417577381
1_11_2013-03-01,21048.647176369046
1_11_2013-03-08,20349.104798065473
1_11_2013-03-15,21864.08112426588
1_11_2013-03-22,22867.765963836555
1_11_2013-03-29,23935.83970812228
1_11_2013-04-05,25037.975876448418
1_11_2013-04-12,22998.76878410714
1_11_2013-04-19,21823.665661815474
1_11_2013-04-26,21833.476073561502
1_11_2013-05-03,27686.918104136897
1_11_2013-05-10,26083.908602202377
1_11_2013-05-17,23889.009799821422
1_11_2013-05-24,27188.09481056548
1_11_2013-05-31,31311.5147917262
1_11_2013-06-07,34702.05053919644
1_11_2013-06-14,32871.690743095234
1_11_2013-06-21,33315.50341821427
1_11_2013-06-28,38502.43968904766
1_11_2013-07-05,31713.66995916669
1_11_2013-07-12,30568.227106190472
1_11_2013-07-19,29279.97390166667
1_11_2013-07-26,30317.43451117064
1_12_2012-11-02,9723.426748154767
1_12_2012-11-09,10378.172525446436
1_12_2012-11-16,9225.554949583333
1_12_2012-11-23,8743.634801666669
1_12_2012-11-30,8296.870744166661
1_12_2012-12-07,7698.6015884523795
1_12_2012-12-14,7583.074731011904
1_12_2012-12-21,7739.297728650798
1_12_2012-12-28,7456.274082291665
1_12_2013-01-04,7757.831985208329
1_12_2013-01-11,7533.356763154761
1_12_2013-01-18,7865.6237175
1_12_2013-01-25,8081.041108869049
1_12_2013-02-01,8732.772433690478
1_12_2013-02-08,8705.948334841261
1_12_2013-02-15,9727.359766101194
1_12_2013-02-22,10331.847390992065
1_12_2013-03-01,11572.766116686515
1_12_2013-03-08,12032.979630892858
1_12_2013-03-15,13486.448454434536
1_12_2013-03-22,12152.033219791674
1_12_2013-03-29,12069.403590208325
1_12_2013-04-05,11208.429548392858
1_12_2013-04-12,11445.619415029758
1_12_2013-04-19,12107.18184391865
1_12_2013-04-26,10916.809987261897
1_12_2013-05-03,12111.48949000992
1_12_2013-05-10,11161.227629900797
1_12_2013-05-17,12150.861573541668
1_12_2013-05-24,12181.474051369047
1_12_2013-05-31,12396.218922023809
1_12_2013-06-07,11835.580754047623
1_12_2013-06-14,11120.807362063499
1_12_2013-06-21,10342.77659117064
1_12_2013-06-28,11192.720938035713
1_12_2013-07-05,12190.752210882938
1_12_2013-07-12,10602.776744365083
1_12_2013-07-19,11639.329134523814
1_12_2013-07-26,11497.176184226195
1_13_2012-11-02,40555.889275357185
1_13_2012-11-09,37936.77157833336
1_13_2012-11-16,37785.80261619045
1_13_2012-11-23,38360.12582089288
1_13_2012-11-30,37555.50925255951
1_13_2012-12-07,35723.79866666666
1_13_2012-12-14,34529.586823154765
1_13_2012-12-21,35936.01611250002
1_13_2012-12-28,34087.772601696444
1_13_2013-01-04,39660.42707190475
1_13_2013-01-11,36884.4873960714
1_13_2013-01-18,36590.40926291671
1_13_2013-01-25,35738.48850208331
1_13_2013-02-01,40587.18253492064
1_13_2013-02-08,39129.410418045634
1_13_2013-02-15,38234.122859503965
1_13_2013-02-22,38422.629355446436
1_13_2013-03-01,41645.720276726206
1_13_2013-03-08,38126.65924625003
1_13_2013-03-15,37518.42657836311
1_13_2013-03-22,36773.21121294644
1_13_2013-03-29,37920.21177005948
1_13_2013-04-05,39696.33230501983
1_13_2013-04-12,37231.709987499984
1_13_2013-04-19,36871.76143833791
1_13_2013-04-26,36715.38697035715
1_13_2013-05-03,40776.448395684514
1_13_2013-05-10,37761.21762347403
1_13_2013-05-17,37320.16054946428
1_13_2013-05-24,37686.49024089285
1_13_2013-05-31,39360.545571666655
1_13_2013-06-07,40049.87835113099
1_13_2013-06-14,39180.70125794645
1_13_2013-06-21,38437.44808422623
1_13_2013-06-28,39346.03930273815
1_13_2013-07-05,40821.78733085316
1_13_2013-07-12,39178.43563360117
1_13_2013-07-19,39215.27805142857
1_13_2013-07-26,37208.86277416668
1_14_2012-11-02,13816.312447916669
1_14_2012-11-09,14524.032512499994
1_14_2012-11-16,18250.610291785713
1_14_2012-11-23,38243.83119130954
1_14_2012-11-30,25541.757142678576
1_14_2012-12-07,21380.537748333325
1_14_2012-12-14,28577.958354345235
1_14_2012-12-21,48478.53418145837
1_14_2012-12-28,22840.583399791674
1_14_2013-01-04,15715.824542499995
1_14_2013-01-11,14158.898339999989
1_14_2013-01-18,13207.255409999996
1_14_2013-01-25,12593.918592678578
1_14_2013-02-01,16275.860199642859
1_14_2013-02-08,17294.726637053565
1_14_2013-02-15,18324.250649920665
1_14_2013-02-22,16880.1729021609
1_14_2013-03-01,18117.58136083334
1_14_2013-03-08,15720.680490952383
1_14_2013-03-15,13578.286371557546
1_14_2013-03-22,13272.06165261905
1_14_2013-03-29,14024.027854464292
1_14_2013-04-05,14278.881868065468
1_14_2013-04-12,13369.225848095231
1_14_2013-04-19,12977.553499642854
1_14_2013-04-26,13417.727020337308
1_14_2013-05-03,15373.244816319442
1_14_2013-05-10,15297.580149464284
1_14_2013-05-17,13906.951595059527
1_14_2013-05-24,13266.728819732141
1_14_2013-05-31,13592.806624970237
1_14_2013-06-07,12837.71980607143
1_14_2013-06-14,13195.757460327384
1_14_2013-06-21,13298.50272157738
1_14_2013-06-28,15085.832014761916
1_14_2013-07-05,14836.704696369052
1_14_2013-07-12,13222.38151752976
1_14_2013-07-19,12133.785163584962
1_14_2013-07-26,11814.698906630596
1_16_2012-11-02,6541.654439999997
1_16_2012-11-09,6459.808250238106
1_16_2012-11-16,5444.544305952385
1_16_2012-11-23,8282.909540238092
1_16_2012-11-30,5970.858230972222
1_16_2012-12-07,5058.284657023805
1_16_2012-12-14,5219.976760863095
1_16_2012-12-21,6981.318086458336
1_16_2012-12-28,5380.805375000001
1_16_2013-01-04,5777.0033049999965
1_16_2013-01-11,5830.115988511901
1_16_2013-01-18,5740.949377380951
1_16_2013-01-25,6489.209442083332
1_16_2013-02-01,9485.111910773809
1_16_2013-02-08,11612.322579047623
1_16_2013-02-15,13723.058588253976
1_16_2013-02-22,18598.69534434525
1_16_2013-03-01,24929.013338273828
1_16_2013-03-08,27809.44825041666
1_16_2013-03-15,42166.979975803566
1_16_2013-03-22,40005.27616293654
1_16_2013-03-29,50165.036702261874
1_16_2013-04-05,53502.09085458334
1_16_2013-04-12,54309.2085504762
1_16_2013-04-19,48423.64447861112
1_16_2013-04-26,44072.06191656746
1_16_2013-05-03,44878.38015003971
1_16_2013-05-10,41942.78488958334
1_16_2013-05-17,37832.95566037695
1_16_2013-05-24,42448.59666047615
1_16_2013-05-31,44268.14086801586
1_16_2013-06-07,36023.94442508931
1_16_2013-06-14,35253.93736148809
1_16_2013-06-21,34076.977191458354
1_16_2013-06-28,35649.78571124998
1_16_2013-07-05,36447.212218511915
1_16_2013-07-12,26136.671031607133
1_16_2013-07-19,23400.949135932533
1_16_2013-07-26,22014.78485214288
1_17_2012-11-02,8382.937501785706
1_17_2012-11-09,8146.336533511903
1_17_2012-11-16,9429.83232380952
1_17_2012-11-23,12258.318898789688
1_17_2012-11-30,11158.043126944447
1_17_2012-12-07,11078.885119384922
1_17_2012-12-14,12479.691067023814
1_17_2012-12-21,17966.551863809524
1_17_2012-12-28,11221.5507075
1_17_2013-01-04,8420.447894464287
1_17_2013-01-11,8747.031298630958
1_17_2013-01-18,8023.003023214282
1_17_2013-01-25,7685.84263654762
1_17_2013-02-01,10333.910126934523
1_17_2013-02-08,11486.56801511904
1_17_2013-02-15,12275.744897440465
1_17_2013-02-22,10938.237280386902
1_17_2013-03-01,12049.88271280754
1_17_2013-03-08,11415.151695277778
1_17_2013-03-15,10071.618936130959
1_17_2013-03-22,8640.752238809524
1_17_2013-03-29,8719.756553750003
1_17_2013-04-05,8539.66516954365
1_17_2013-04-12,7652.0241533928565
1_17_2013-04-19,8449.644848511904
1_17_2013-04-26,8310.88244964286
1_17_2013-05-03,9541.777809940471
1_17_2013-05-10,9385.302401636905
1_17_2013-05-17,8933.244156279765
1_17_2013-05-24,7766.744118095244
1_17_2013-05-31,7664.999374583334
1_17_2013-06-07,8857.905610416661
1_17_2013-06-14,8648.908522797617
1_17_2013-06-21,7824.259305595237
1_17_2013-06-28,8167.528651607145
1_17_2013-07-05,8252.543527301586
1_17_2013-07-12,7455.1320328174625
1_17_2013-07-19,7858.225942212298
1_17_2013-07-26,8422.783340089285
1_18_2012-11-02,12505.34756452381
1_18_2012-11-09,10186.753090416667
1_18_2012-11-16,14292.218059999997
1_18_2012-11-23,34351.77882424243
1_18_2012-11-30,46520.9561221591
1_18_2012-12-07,44447.14610249998
1_18_2012-12-14,34230.69886583336
1_18_2012-12-21,24191.67066666668
1_18_2012-12-28,20727.225593184514
1_18_2013-01-04,6228.812108630954
1_18_2013-01-11,1422.2811791666663
1_18_2013-01-18,1562.1931937499987
1_18_2013-01-25,1970.4786670833346
1_18_2013-02-01,4202.85048875
1_18_2013-02-08,15851.401260446424
1_18_2013-02-15,22006.47446193453
1_18_2013-02-22,1236.242297916667
1_18_2013-03-01,671.0834721626981
1_18_2013-03-08,838.615516041667
1_18_2013-03-15,1302.591633829365
1_18_2013-03-22,2348.4832389484122
1_18_2013-03-29,4818.371445833329
1_18_2013-04-05,7960.025170416668
1_18_2013-04-12,3595.401841130953
1_18_2013-04-19,4104.961966313132
1_18_2013-04-26,3605.475553095237
1_18_2013-05-03,351.8837699404761
1_18_2013-05-10,73.31447476190473
1_18_2013-05-17,3.850606944444448
1_18_2013-05-24,1.5030887499999992
1_18_2013-06-07,2.164985208333334
1_18_2013-07-05,1.7140864583333333
1_19_2012-11-02,1197.2993922023811
1_19_2012-11-09,1326.417932976191
1_19_2012-11-16,1322.493239345238
1_19_2012-11-23,1079.0023919047617
1_19_2012-11-30,1440.6077880357138
1_19_2012-12-07,1621.310324702381
1_19_2012-12-14,1551.9238160714285
1_19_2012-12-21,1581.078995238095
1_19_2012-12-28,1083.0572241071432
1_19_2013-01-04,808.2445412500002
1_19_2013-01-11,852.3024897023811
1_19_2013-01-18,793.558858869048
1_19_2013-01-25,840.3325164880948
1_19_2013-02-01,1430.9614807629873
1_19_2013-02-08,1295.4094138095236
1_19_2013-02-15,1363.417764880952
1_19_2013-02-22,1594.4836161011913
1_19_2013-03-01,1330.8761781547616
1_19_2013-03-08,1595.3290252083339
1_19_2013-03-15,1522.4259218452385
1_19_2013-03-22,1486.8627404166664
1_19_2013-03-29,1220.6605989285722
1_19_2013-04-05,1493.4407158630954
1_19_2013-04-12,1093.1287377380954
1_19_2013-04-19,1320.920141726191
1_19_2013-04-26,1108.8644273115078
1_19_2013-05-03,1314.2791785714285
1_19_2013-05-10,1411.2316305952374
1_19_2013-05-17,1404.6522466269842
1_19_2013-05-24,1165.254444573413
1_19_2013-05-31,1150.3607891269844
1_19_2013-06-07,1179.1795634226191
1_19_2013-06-14,992.3379364682546
1_19_2013-06-21,1087.2586395634912
1_19_2013-06-28,1034.627025059523
1_19_2013-07-05,1064.5428408928572
1_19_2013-07-12,1138.6316023809534
1_19_2013-07-19,1057.8764044047616
1_19_2013-07-26,1167.9107211607138
1_20_2012-11-02,3034.604700952378
1_20_2012-11-09,2963.8234691269854
1_20_2012-11-16,3001.932486666668
1_20_2012-11-23,5358.392135416672
1_20_2012-11-30,3439.1283272619057
1_20_2012-12-07,2962.4630533333348
1_20_2012-12-14,3418.9910880357133
1_20_2012-12-21,4419.496135416667
1_20_2012-12-28,4122.7508325000035
1_20_2013-01-04,3362.190107916665
1_20_2013-01-11,3623.9894741666667
1_20_2013-01-18,3365.3508599999996
1_20_2013-01-25,3258.2088583333325
1_20_2013-02-01,4151.860584404759
1_20_2013-02-08,4314.873955238098
1_20_2013-02-15,4741.373858402778
1_20_2013-02-22,4266.9488925000005
1_20_2013-03-01,4696.148705625001
1_20_2013-03-08,5824.801677083331
1_20_2013-03-15,4608.478577916666
1_20_2013-03-22,4028.614306369049
1_20_2013-03-29,4504.678264642854
1_20_2013-04-05,3362.0105345833326
1_20_2013-04-12,3167.109819642857
1_20_2013-04-19,3496.765024444445
1_20_2013-04-26,3805.6612719444443
1_20_2013-05-03,4203.670754166667
1_20_2013-05-10,4206.531923095239
1_20_2013-05-17,4453.721058690478
1_20_2013-05-24,4911.727073333335
1_20_2013-05-31,5162.530140218254
1_20_2013-06-07,5050.088728988091
1_20_2013-06-14,4704.470151924602
1_20_2013-06-21,4669.295562023812
1_20_2013-06-28,4818.836105773809
1_20_2013-07-05,5160.703356964285
1_20_2013-07-12,4451.124132619049
1_20_2013-07-19,4488.681913382935
